,prev_text,target_text,next_text,label
155,"People have been debating the causes of happiness for a really long time, in fact for thousands of years, but it seems like many of those debates remain unresolved.","Well, as with many other domains in life, I think the scientific method has the potential to answer this question.","In fact, in the last few years, there's been an explosion in research on happiness.",1
156,The stuff of the other world can't.,"We shouldn't assume that the world of is, of lengths and weights, has the same structure as the world of ought, of what we should do.","So if what matters to us -- a child's delight, the love you have for your partner — can't be represented by real numbers, then there's no reason to believe that in choice, there are only three possibilities -- that one alternative is better, worse or equal to the other.",1
157,"But it's important to remember that before we learned how to share the fruits of the Industrial Revolution with the broad swathes of society, we had to go through two depressions, the Great Depression of the 1930s, the Long Depression of the 1870s, two world wars, communist revolutions in Russia and in China, and an era of tremendous social and political upheaval in the West.","We also, not coincidentally, went through an era of tremendous social and political inventions.",We created the modern welfare state.,1
158,The Amazon is capable of capturing 1.6 billion tons of CO2 each year.,This is the equivalent of roughly 25 percent of our annual emissions in the US.,The land area required for a synthetic forest or a manufactured direct air capture plant to capture the same is 500 times smaller.,0
159,"Anybody who's over 15 doesn't know what this means, because in the last 10 years, the number of elementary school classroom teachers has been cut in half.",We went from 14 percent to seven percent.,That means that 93 percent of the teachers that our young men get in elementary classrooms are women.,0
160,"And as we leave this haven of uplifting beauty, we are inspired to ask ourselves life's biggest questions:","Who am I, and what role do I play in this great theater of life?",Thank you.,1
161,"How come, then, it's not so expected to be selective when we go to an art gallery?",Why are we supposed to have a connection with every single painting?,Well I'm trying to take a different approach.,0
162,"And he would grab my pinkie, because what he wanted to do every day is he wanted to go visit.","You know, he never quite made it to all of them every day, but he wanted to visit all 156 prisoners.","And I would lift him, and he would put his fingers through.",1
163,"""All right. OK.""","You tell a teacher that, and they'll ask you, in all seriousness, ""Should we send this child to the psychologist?""","And the answer is no, he's just a boy.",1
164,100 percent.,"This study is usually invoked as evidence that, well, women need a little more confidence.","But I think it's evidence that women have been socialized to aspire to perfection, and they're overly cautious.",1
165,"The combination of ""Rain Man,"" the changes to the criteria, and the introduction of these tests created a network effect, a perfect storm of autism awareness.","The number of diagnoses started to soar, just as Lorna and Judith predicted, indeed hoped, that it would, enabling autistic people and their families to finally get the support and services they deserved.","Then Andrew Wakefield came along to blame the spike in diagnoses on vaccines, a simple, powerful, and seductively believable story that was as wrong as Kanner's theory that autism was rare.",1
166,It's not like we're trying to choose between two things that can't be compared.,"We're weighing the merits of two jobs, after all, not the merits of the number nine and a plate of fried eggs.","A comparison of the overall merits of two jobs is something we can make, and one we often do make.",1
167,"So, please don't email me one of your crazy theories.","Well, I had my own crazy theory.","But, who does the MIT professor go to?",1
168,We called everyone.,"We called surgeons and pain docs and general practitioners -- anyone we could find on the internet, and not a single one of them would help me.",The few that we could speak with on the phone advised us to go back on the medication.,1
169,"For the American economy, for any economy to grow, to truly innovate, we cannot leave behind half our population.","We have to socialize our girls to be comfortable with imperfection, and we've got to do it now.",We cannot wait for them to learn how to be brave like I did when I was 33 years old.,1
170,Questions mix with fear and erupt like bile in my throat.,Why are you looking in her eyes?,What do you know about this?,0
171,"But as a species, we are leaving that cocktail party behind.","We're leaving that culture, we're out of there.","We're going to get so good at paying creators, within 10 years, kids graduating high school and college are going to think of being a creator as just being an option -- I could be a doctor, I could be a lawyer, I could be a podcaster, I could have a web comic.",1
172,"Boy comes home from school, and he says, ""I hate writing."" ""Why do you hate writing, son?","What's wrong with writing?"" ""Now I have to write what she tells me to write."" ""OK, what is she telling you to write?"" ""Poems.",I have to write poems.,0
173,OK?,"We all, to some extent, suffer from something that psychologists call ""the illusion of transparency"" -- basically, the mistaken belief that our thoughts and our feelings and our needs are really obvious to other people.","This is not true, but we believe it.",1
174,So what did we find?,"This graph shows happiness on the vertical axis, and you can see that bar there representing how happy people are when they're focused on the present, when they're not mind-wandering.","As it turns out, people are substantially less happy when their minds are wandering than when they're not.",0
175,"You agonize over whether to stay in your current job in the city or uproot your life for more challenging work in the country, because staying is better in some ways, moving is better in others, and neither is better than the other overall.",We shouldn't think that all hard choices are big.,Let's say you're deciding what to have for breakfast.,1
176,"In other words, maybe the pleasures of the mind allow us to increase our happiness with mind-wandering.","Well, since I'm a scientist, I'd like to try to resolve this debate with some data, and in particular I'd like to present some data to you from three questions that I ask with Track Your Happiness.","Remember, this is from sort of moment-to-moment experience in people's real lives.",1
177,"We could have all of the clever thinking and technology in the world, but it's not going to be enough in order for this technology to have a significant impact on climate.","We really need regulation, we need subsidies, taxes on carbon.","There are a few of us that would absolutely be willing to pay more, but what will be required is for carbon-neutral, carbon-negative paths to be affordable for the majority of society in order to impact climate.",1
178,"By autistic standards, the normal human brain is easily distractable, obsessively social, and suffers from a deficit of attention to detail.","To be sure, autistic people have a hard time living in a world not built for them. ","[Seventy] years later, we're still catching up to Asperger, who believed that the ""cure"" for the most disabling aspects of autism is to be found in understanding teachers, accommodating employers, supportive communities, and parents who have faith in their children's potential.",1
179,You didn't even need to be a billionaire to get on that list in 1992.,"Well, today, that figure has more than quintupled to 1.7 trillion, and I probably don't need to tell you that we haven't seen anything similar happen to the middle class, whose wealth has stagnated if not actually decreased.","So we're living in the age of the global plutocracy, but we've been slow to notice it.",1
180,I like to think of this as a synthetic forest.,There are two basic approaches to growing or building such a forest.,One is using CO2-grabbing chemicals dissolved in water.,1
181,"When the guys are struggling with an assignment, they'll come in and they'll say, ""Professor, there's something wrong with my code.""","The girls will come in and say, ""Professor, there's something wrong with me.""","We have to begin to undo the socialization of perfection, but we've got to combine it with building a sisterhood that lets girls know that they are not alone.",1
182,We created public pensions.,We created unions.,"Today, we are living through an era of economic transformation comparable in its scale and its scope to the Industrial Revolution.",1
183,But I also hear about the Farmer's Almanac.,"We grew up on the Farmer's Almanac, people are familiar with it.","The problem is, it's only about 37 percent accurate, according to studies at Penn State University.",0
184,We have superstar bankers.,We have superstar lawyers and superstar architects.,There are superstar cooks and superstar farmers.,1
185,"And in the search for planets, and in the future, planets that might be like Earth, we're able to help address some of the most amazing and mysterious questions that have faced humankind for centuries.",Why are we here?,Why does our universe exist?,0
186,So those are not her pearl earrings.,Whose are they?,"We happen to know, there's a list of Catharina, the wife's clothes.",0
187,"Michelangelo was an essentialist; he would tell his story in massive, dynamic bodies.","This plan was embraced by the larger-than-life Pope Julius II, a man who was unafraid of Michelangelo's brazen genius.","He was nephew to Pope Sixtus IV, and he had been steeped in art for 30 years and he knew its power.",1
188,Why are you looking in her eyes?,What do you know about this?,How do you know for sure?,0
189,You can walk around them.,You can smell them.,You can get a feel for them.,0
190,Do they make sense?,"We need to think about how to uncompress this curriculum if we can, trying to bring boys back into a space that is comfortable for them.",All of those conversations need to be happening.,1
191,We created public education.,We created public health care.,We created public pensions.,1
192,"It's something we all go through, and my hope is that my experience may be helpful to somebody.","To give you some background on me, I grew up the youngest of eight.","Yes, eight kids in my family.",0
193,It's coming from us.,We want our babies to read when they are six months old.,Have you seen the ads?,1
194,Where do they come from?,"Your upbringing, your political perspective, your faith -- what shapes your own biases?","Then, evaluate your sources -- where do you get your information on science?",0
195,"A monthly web comic with 20,000 monthly readers -- 20,000 monthly readers -- gets paid a couple hundred bucks in ad revenue.","This is 20,000 people.","Like, in what world is this not enough?",0
196,One scary conclusion you could draw from all of this is to worry about structural unemployment.,What worries me more is a different nightmare scenario.,"After all, in a totally free labor market, we could find jobs for pretty much everyone.",1
197,How do you know for sure?,What is the prognosis?,My training in pastoral counseling did not prepare me for this.,0
198,"So the next thing was I wanted to put figures in these paintings, people, and I loved this new environment, so I wanted to have both people and this atmosphere.","When the idea hit me of how to do this, I got kind of nauseous and dizzy, which is really just adrenaline, probably, but for me it's a really good sign.",And so now I want to show you what I've been working on.,1
199,You can buy cloned cologne.,"You can buy pirated DVDs, of course.",You can buy New York Yankees caps in all sorts of unauthorized patterns.,0
200,"We tell stories all the time about everything, and I think we do it because the world is kind of a crazy, chaotic place, and sometimes stories, we're trying to make sense of the world a little bit, trying to bring some order to it.",Why not apply that to our looking at paintings?,So I now have this sort of restaurant menu visiting of art galleries.,1
201,"And when I got myself together and I looked at her, I realized, this isn't about me.",This is about figuring out how to help her.,"My father is a doctor, and so we had a great advantage having him in charge, and he did a beautiful job taking care of her.",1
202,"And the fact is, that when you see them together in the Garden of Eden, they fall together and together their proud posture turns into folded shame.",You are at critical juncture now in the ceiling.,You are exactly at the point where you and I can go no further into the church.,1
203,They have strange names:,"UCLG, United Cities and Local Governments; ICLEI, the International Council for Local Environmental Issues.",And the list goes on:,0
204,"It's not only Innocent, who I told you about in Zimbabwe, but defenders all over the world who are looking for these pieces.","We have a program called JusticeMakers, and we realized there are people that are courageous and want to do things, but how can we support them?",So it's an online contest where it's only five thousand dollars if you come up with and innovative way of implementing justice.,1
205,"It's easiest to see how the technology revolution and globalization are creating this sort of superstar effect in highly visible fields, like sports and entertainment.",We can all watch how a fantastic athlete or a fantastic performer can today leverage his or her skills across the global economy as never before.,"But today, that superstar effect is happening across the entire economy.",1
206,"First is the training, empowerment, and connection of defenders worldwide.",The second is insuring that there is systematic early access to counsel.,And the third is commitment.,1
207,They are home.,"Very different than nation-states, which are abstractions.","We pay taxes, we vote occasionally, we watch the men and women we choose rule rule more or less without us.",1
208,It's not because I think I'm special.,This story is important precisely because I'm not special; because nothing that happened to me was all that unique.,My dependence on opioids was entirely predictable given the amount that I was prescribed and the duration for which I was prescribed it.,1
209,"So, if looks could kill, I would not be standing here right now.",We really can't blame other people for not just spontaneously offering to help us when we don't actually know that that's what is wanted.,"In fact, actually, research shows that 90 percent of the help that coworkers give one another in the workplace is in response to explicit requests for help.",1
210,"We're taking that play and we're touring it to rural counties in Pennsylvania, Ohio, Michigan, Minnesota and Wisconsin.","We're partnering with community organizations there to try and make sure not only that we reach the people that we're trying to reach, but that we find ways to listen to them back and say, ""The culture is here for you, too.""","Because -- we in the culture industry, we in the theater, have no right to say that we don't know what our job is.",0
211,He managed to make the word tender.,"When I made the announcement, George did not turn rosy, but went pale as my doublet.",He should not have been surprised.,1
212,"Then, evaluate your sources -- where do you get your information on science?","What do you read, what do you listen to, to consume your information on science?","And then, it's important to speak out.",0
213,"If you talk to faculty, they may say, ""Ugh.","Yeah, well, they're playing video games, and they're gambling online all night long, and they're playing World of Warcraft, and that's affecting their academic achievement.""",Guess what?,1
214,"In that journey from polis to cosmopolis, we can rediscover the power of democracy on a global level.","We can create not a League of Nations, which failed, but a League of Cities, not a United or a dis-United Nations, but United Cities of the World.",We can create a global parliament of mayors.,1
215,"It's here, in the space of hard choices, that we get to exercise our normative power -- the power to create reasons for yourself, to make yourself into the kind of person for whom country living is preferable to the urban life.","When we choose between options that are on a par, we can do something really rather remarkable.",We can put our very selves behind an option.,1
216,But the worst -- the worst was the depression.,The tears that had felt like a misfire before now felt meaningful.,"Several times a day I would get that welling in my chest where you know the tears are coming, but I couldn't stop them and with them came desperation and hopelessness.",1
217,"You can buy pirated DVDs, of course.",You can buy New York Yankees caps in all sorts of unauthorized patterns.,"You can buy cuecas baratas, designer underwear that isn't really manufactured by a designer, and even pirated evangelical mixtapes.",1
218,Switzerland-based Climeworks and US-based Global Thermostat use a different approach.,They use solid materials for capture.,"Climeworks uses heat from the earth, or geothermal, or even excess steam from other industrial processes to cut down on pollution and costs.",0
219,"But he's about to dispel the gloom by using those bright colors right underneath Noah: emerald, topaz, scarlet on the prophet Zechariah.","Zechariah foresees a light coming from the east, and we are turned at this juncture to a new destination, with sibyls and prophets who will lead us on a parade.","You have the heroes and heroines who make safe the way, and we follow the mothers and fathers.",0
220,So it's just a place where there was no rule of law.,"The first group of defenders came together and I still remember, as I was training, I said, ""Okay, what do you do for an investigation?""","And there was silence in the class, and finally one woman stood up, [inaudible name], and she said ""Khrew,"" which means ""teacher.""",0
221,This is a shopping mall.,This is Oshodi Market in Lagos.,"Jorge Luis Borges had a story called ""The Aleph,"" and the Aleph is a point in the world where absolutely everything exists, and for me, this image is a point in the world where absolutely everything exists.",0
222,"So if what matters to us -- a child's delight, the love you have for your partner — can't be represented by real numbers, then there's no reason to believe that in choice, there are only three possibilities -- that one alternative is better, worse or equal to the other.","We need to introduce a new, fourth relation beyond being better, worse or equal, that describes what's going on in hard choices.","I like to say that the alternatives are ""on a par.""",1
223,"And you know from personal experience that when you go to the movies, you walk into a movie theater, and if it's empty, you're delighted, because nothing's going to be between you and the movie.","You can spread out, put your legs over the top of the stadium seats, eat your popcorn and just enjoy it.","But if you walk into a live theater and you see that the theater is half full, your heart sinks.",1
224,Understanding hard choices uncovers a hidden power each of us possesses.,What makes a choice hard is the way the alternatives relate.,"In any easy choice, one alternative is better than the other.",1
225,"I had no plan, but I was watching what was happening.",This is the one with all the bugs in it.,I wasn't trying to represent a real space.,1
226,And there are many reasons why I believe it's possible.,The first reason is the people on the ground who find ways of creating miracles because of their commitment.,"It's not only Innocent, who I told you about in Zimbabwe, but defenders all over the world who are looking for these pieces.",1
227,We have a serious compression of the curriculum happening out there.,"When you're three, you better be able to write your name legibly, or else we'll consider it a developmental delay.","By the time you're in first grade, you should be able to read paragraphs of text with maybe a picture, maybe not, in a book of maybe 25 to 30 pages.",1
228,"How does a painter paint such calm, quiet paintings with 11 kids around?","Well, he compartmentalizes his life.","He gets to his studio, and he says, ""Nobody comes in here.",1
229,Lorna and her colleague Judith Gould decided to do something that should have been done 30 years earlier.,They undertook a study of autism prevalence in the general population.,They pounded the pavement in a London suburb called Camberwell to try to find autistic children in the community.,0
230,"They have to get things done, they have to put ideology and religion and ethnicity aside and draw their cities together.","We saw this a couple of decades ago when Teddy Kollek, the great mayor of Jerusalem in the '80s and the '90s, was besieged one day in his office by religious leaders from all of the backgrounds, Christian prelates, rabbis, imams.",They were arguing with one another about access to the holy sites.,1
231,I got curious again.,This is another one from the woods.,"There was a caveat now, though.",1
232,"And by the time that Vishna was getting bigger, which means what gets bigger?",Your head gets bigger.,"So he would come to the first bar, the second bar and then the third bar, and then really slowly move his head so he could fit through, and come back, third, second, first.",1
233,"But I had a bit of an epiphany, and they had detected it, and it was causing some confusion.","You see, I had become an enthusiast for capitalism, and I want to tell you why that is.","It stems from a lifelong interest of mine in, believe it or not, poverty.",1
234,"Even in their older years, what we find is that there's still a problem.","When we look at the universities, 60 percent of baccalaureate degrees are going to women now, which is a significant shift.","And in fact, university administrators are a little uncomfortable about the idea that we may be getting close to 70 percent female population in universities.",1
235,"For most of the 20th century, clinicians told one story about what autism is and how it was discovered, but that story turned out to be wrong, and the consequences of it are having a devastating impact on global public health.","There was a second, more accurate story of autism which had been lost and forgotten in obscure corners of the clinical literature.",This second story tells us everything about how we got here and where we need to go next.,1
236,"In 1967, 13 years after he figured that out, he figured out something else, which is that the democratic circle was not complete by just giving the people the classics.",We had to actually let the people create their own classics and take the stage.,"And so in 1967, Joe opened the Public Theater downtown on Astor Place, and the first show he ever produced was the world premiere of ""Hair.""",0
237,"And so the question is, how can we create a world in which mayors and the citizens they represent play a more prominent role?","Well, to understand that, we need to understand why cities are special, why mayors are so different than prime ministers and presidents, because my premise is that a mayor and a prime minister are at the opposite ends of a political spectrum.","To be a prime minister or a president, you have to have an ideology, you have to have a meta-narrative, you have to have a theory of how things work, you have to belong to a party.",1
238,"I was recently in Egypt, and was inspired to meet with another group of lawyers, and what they told me is that they said, ""Hey, look, we don't have police on the streets now.",The police are one of the main reasons why we had the revolution.,"They were torturing everybody all the time.""",1
239,That's built into the DNA of my art form.,"Twenty-five hundred years later, Joe Papp decided that the culture should belong to everybody in the United States of America, and that it was his job to try to deliver on that promise.",He created Free Shakespeare in the Park.,0
240,"We all, to some extent, suffer from something that psychologists call ""the illusion of transparency"" -- basically, the mistaken belief that our thoughts and our feelings and our needs are really obvious to other people.","This is not true, but we believe it.","And so, we just mostly stand around waiting for someone to notice our needs and then spontaneously offer to help us with it.",1
241,"If the diagnostic criteria had to be broadened, why were they so narrow in the first place?",Why were cases of autism so hard to find before the 1990s?,"Five years ago, I decided to try to uncover the answers to these questions.",1
242,"Now, are there downsides to that?","Well, I guess.","You know, China has no — no intellectual property, right?",0
243,My supermom would drive us all over town to our various after-school activities -- not in the bus.,"We had a regular car, too.","She would take me to art classes, and not just one or two.",0
244,Are there moms who've raised boys around that table?,"You'll see, the conversation changes depending upon who's sitting around the table.",Third reason that boys are out of sync with school today:,1
245,"Michelangelo chose to paint destiny, that universal desire, common to all of us, to leave a legacy of excellence.","Told in terms of the Christian vision of the Last Judgment, the end of the world, Michelangelo gave you a series of figures who are wearing these strikingly beautiful bodies.","They have no more covers, no more portraits except for a couple.",1
246,"Well, I think that we are wired, our DNA tells us to tell stories.","We tell stories all the time about everything, and I think we do it because the world is kind of a crazy, chaotic place, and sometimes stories, we're trying to make sense of the world a little bit, trying to bring some order to it.",Why not apply that to our looking at paintings?,1
247,"And in this dimension, they are incredibly small.",You can you hold them in your hand.,They're like a garden hose.,0
248,"Well, I guess.","You know, China has no — no intellectual property, right?",Versace without the vowels.,0
249,"So when it comes to other planets, other Earths, in the future when we can observe them, what kind of gases would we be looking for?","Well, you know, our own Earth has oxygen in the atmosphere to 20 percent by volume.",That's a lot of oxygen.,0
250,"You were coming to have the collective experience of laughing together, crying together, holding your breath together to see what's going to happen next.","You may have walked into that theater as an individual consumer, but if the theater does its job, you've walked out with a sense of yourself as part of a whole, as part of a community.",That's built into the DNA of my art form.,1
251,"But I came from a modest immigrant family where my idea of luxury was having a pork tongue and jelly sandwich in my school lunchbox, so the thought of spending my whole life sitting around in armchairs just thinking...","Well, that struck me as the height of extravagance and frivolity.","So I got out my yellow pad, I drew a line down the middle, and I tried my best to think of the reasons for and against each alternative.",1
252,"Zechariah foresees a light coming from the east, and we are turned at this juncture to a new destination, with sibyls and prophets who will lead us on a parade.","You have the heroes and heroines who make safe the way, and we follow the mothers and fathers.","They are the motors of this great human engine, driving it forward.",0
253,"I realize sometimes there's no alternative, but mostly what happens is, we like to ask for help over email and text because it feels less awkward for us to do so.",You know what else feels less awkward over email and text?,Telling you no.,1
254,"And I said, ""But there's been tens of millions of dollars that have recently gone in to the development of the legal system here.","What's going on?""","I met with one of the development agencies, and they were training prosecutors and judges, which is the normal bias, as opposed to defenders.",0
255,"I don't want to write that stuff."" ""Well, what do you want to write?","What do you want to write about?"" ""I want to write about video games.",I want to write about leveling-up.,1
256,Pat and I went to a medical school library and we copied every article we could find on PXE.,We didn't understand a thing.,We bought medical dictionaries and scientific textbooks and read everything we could get our hands on.,0
257,"The area of a circle is ""pi r squared"".","We increase the radius, we increase the area.",How do we expand our radius of understanding about science?,0
258,"As someone who spends most of my time alone in a studio working, I had no idea that this kind of connection could be so important, so healing.",This was the most important thing. It was what I always wanted.,"So after the funeral, it was time for me to go back to my studio.",1
259,I don't understand.,What systems have we built where this is insufficient for a person to make a living?,"So, I actually have a theory about this.",1
260,"In the late '80s and early 1990s, their changes went into effect, swapping out Kanner's narrow model for Asperger's broad and inclusive one.",These changes weren't happening in a vacuum.,"By coincidence, as Lorna and Judith worked behind the scenes to reform the criteria, people all over the world were seeing an autistic adult for the first time.",1
261,"If it could come, they couldn't afford a ticket, and if they could afford a ticket, they didn't have the connections to get that ticket.",They weren't boycotting us; we had boycotted them.,"And if you look at the red and blue electoral map of the United States, and if I were to tell you, ""Oh, the blue is what designates all of the major nonprofit cultural institutions,"" I'd be telling you the truth. You'd believe me.",1
262,"But in my mind, this was my way to make a difference, to disrupt the status quo.","The polls, however, told a very different story.","My pollsters told me that I was crazy to run, that there was no way that I could win.",1
263,Why a story?,"Well, I think that we are wired, our DNA tells us to tell stories.","We tell stories all the time about everything, and I think we do it because the world is kind of a crazy, chaotic place, and sometimes stories, we're trying to make sense of the world a little bit, trying to bring some order to it.",1
